Mean,Std,Mean_last,Std_last,Iteration
16737.46065,518.6707025,348.2044927,57.0977261,1
5437.873,347.6894901,114.8711745,33.00695274,2
3459.019147,222.8643388,73.5175517,21.12444976,3
2207.234709,141.5235973,47.05123309,13.51964784,4
1412.070445,90.56775407,30.11278918,8.65257462,5
903.4220204,58.00847669,19.27218507,5.537647757,6
578.0390868,37.10828009,12.33419845,3.544094564,7
369.9261303,23.74580916,7.893887006,2.268220521,8
236.7488748,15.19844767,5.052087684,1.451661134,9
151.5163259,9.726940573,3.233336118,0.929063125,10
96.96994548,6.225148127,2.069335115,0.5946004,11
62.06084613,3.98410707,1.324374474,0.380544256,12
39.71903346,2.549824141,0.847599663,0.243548324,13
25.42029995,1.631880869,0.542463784,0.155870927,14
16.26911982,1.044403083,0.347176822,0.099757393,15
10.41236388,0.66841885,0.222193166,0.063844732,16
6.664041052,0.427788659,0.142203626,0.040860628,17
4.265115557,0.273784915,0.091010321,0.026150802,18
2.729803594,0.175222287,0.058246605,0.016736513,19
1.747203915,0.112142175,0.037277827,0.010711369,20
1.118340026,0.071770953,0.02385781,0.006855276,21
0.715867082,0.045933411,0.015268998,0.004387377,22
0.458284391,0.029397394,0.009772159,0.002807921,23
0.29343148,0.018814339,0.006254182,0.001797069,24
0.187925625,0.012041178,0.004002676,0.001150124,25
0.120401881,0.007706353,0.002561713,0.00073608,26
0.077186684,0.004932065,0.001639496,0.000471091,27
0.049528956,0.003156521,0.001049278,0.000301498,28
0.03182801,0.002020174,0.000671538,0.000192959,29
0.020499405,0.001292911,0.000429784,0.000123494,30
0.013249097,0.000827463,0.000275062,7.90E-05,31
0.008608901,0.000529576,0.00017604,5.06E-05,32
0.005639175,0.000338929,0.000112665,3.24E-05,33
0.00373855,0.000216915,7.21E-05,2.07E-05,34
0.002522151,0.000138825,4.61E-05,1.33E-05,35
0.001743655,8.88E-05,2.95E-05,8.49E-06,36
0.001245418,5.69E-05,1.89E-05,5.43E-06,37
0.000926546,3.64E-05,1.21E-05,3.48E-06,38
0.000722468,2.33E-05,7.74E-06,2.22E-06,39
0.000591858,1.49E-05,4.96E-06,1.42E-06,40
0.000508267,9.54E-06,3.17E-06,9.11E-07,41
0.00045477,6.11E-06,2.03E-06,5.83E-07,42
0.000420531,3.91E-06,1.30E-06,3.73E-07,43
0.000398618,2.50E-06,8.31E-07,2.39E-07,44
0.000384594,1.60E-06,5.32E-07,1.53E-07,45
0.000375619,1.02E-06,3.41E-07,9.78E-08,46
0.000369874,6.56E-07,2.18E-07,6.26E-08,47
0.000366198,4.20E-07,1.39E-07,4.01E-08,48
0.000363845,2.69E-07,8.93E-08,2.56E-08,49
0.000362339,1.72E-07,5.71E-08,1.64E-08,50
0.000361376,1.10E-07,3.66E-08,1.05E-08,51
0.000360759,7.04E-08,2.34E-08,6.72E-09,52
0.000360364,4.51E-08,1.50E-08,4.30E-09,53
0.000360111,2.88E-08,9.58E-09,2.75E-09,54
0.00035995,1.85E-08,6.13E-09,1.76E-09,55
0.000359846,1.18E-08,3.93E-09,1.13E-09,56
0.00035978,7.56E-09,2.51E-09,7.22E-10,57
0.000359738,4.84E-09,1.61E-09,4.62E-10,58
0.00035971,3.10E-09,1.03E-09,2.96E-10,59
0.000359693,1.98E-09,6.59E-10,1.89E-10,60
0.000359682,1.27E-09,4.22E-10,1.21E-10,61
0.000359675,8.12E-10,2.70E-10,7.75E-11,62
0.00035967,5.19E-10,1.73E-10,4.96E-11,63
0.000359667,3.32E-10,1.11E-10,3.18E-11,64
0.000359666,2.13E-10,7.07E-11,2.03E-11,65
0.000359664,1.36E-10,4.53E-11,1.30E-11,66
0.000359664,8.71E-11,2.90E-11,8.32E-12,67
0.000359663,5.58E-11,1.85E-11,5.33E-12,68
0.000359663,3.57E-11,1.19E-11,3.41E-12,69
0.000359663,2.28E-11,7.59E-12,2.18E-12,70
0.000359662,1.46E-11,4.86E-12,1.40E-12,71
0.000359662,9.36E-12,3.11E-12,8.94E-13,72
0.000359662,5.99E-12,1.99E-12,5.72E-13,73
0.000359662,3.83E-12,1.27E-12,3.66E-13,74
0.000359662,2.45E-12,8.15E-13,2.34E-13,75
0.000359662,1.57E-12,5.22E-13,1.50E-13,76
0.000359662,1.00E-12,3.34E-13,9.60E-14,77
0.000359662,6.43E-13,2.14E-13,6.14E-14,78
0.000359662,4.12E-13,1.37E-13,3.93E-14,79
0.000359662,2.63E-13,8.75E-14,2.52E-14,80
0.000359662,1.69E-13,5.60E-14,1.61E-14,81
0.000359662,1.08E-13,3.59E-14,1.03E-14,82
0.000359662,6.90E-14,2.30E-14,6.59E-15,83
0.000359662,4.42E-14,1.47E-14,4.22E-15,84
0.000359662,2.83E-14,9.40E-15,2.70E-15,85
0.000359662,1.81E-14,6.02E-15,1.73E-15,86
0.000359662,1.16E-14,3.85E-15,1.11E-15,87
0.000359662,7.42E-15,2.46E-15,7.08E-16,88
0.000359662,4.75E-15,1.58E-15,4.53E-16,89
0.000359662,3.04E-15,1.01E-15,2.90E-16,90
0.000359662,1.95E-15,6.46E-16,1.86E-16,91
0.000359662,1.25E-15,4.13E-16,1.19E-16,92
0.000359662,8.02E-16,2.65E-16,7.60E-17,93
0.000359662,5.18E-16,1.69E-16,4.87E-17,94
0.000359662,3.31E-16,1.08E-16,3.11E-17,95
0.000359662,2.15E-16,6.94E-17,1.99E-17,96
0.000359662,1.41E-16,4.44E-17,1.28E-17,97
0.000359662,9.09E-17,2.84E-17,8.16E-18,98
0.000359662,5.76E-17,1.82E-17,5.22E-18,99
0.000359662,4.32E-17,1.16E-17,3.34E-18,100
0.000359662,3.51E-17,7.45E-18,2.14E-18,101
