units,centralized_lqr_mean,centralized_lqr_var,cvx_mean,cvx_var
10,0.165625,0.03240069,0.0875,0.008558165
20,0.21875,0.045554312,0.334375,0.023696486
30,0.40625,0.07967218,0.884375,0.045015188
40,0.915625,0.177328262,1.709375,0.083121475
50,1.903125,0.295927765,2.88125,0.03423266
60,3.00625,0.228734204,4.76875,0.188279629
70,4.115625,0.210096704,7.065625,0.189249649
80,5.496875,0.250585252,10.43125,0.369854015
90,7.953125,0.488140605,13.80625,0.42326161
100,9.196875,0.612033464,17.84375,0.513846364
