units,max_deg,centralized_lqr_mean,centralized_lqr_var,distributed_lqr_mean,distributed_lqr_var,distributed_worst_mean,distributed_worst_var,distributed_theory_mean,distributed_theory_var,markovski_mean,markovski_var
10,2,0.032101839,6.80691E-05,1.27307239,0.034672783,0.709853918,0.023219277,0.054554038,0.002116681,0.038985698,0.001006742
15,2,0.179395,0.000245973,1.652255303,0.03089227,0.9700432,0.02448985,0.142161496,0.002188448,0.208396754,0.001213446
20,2,0.728346609,0.000401141,2.188064097,0.041422018,1.435825912,0.040087794,0.364442028,0.004624801,0.823492502,0.002439082
25,2,2.324155509,0.000365453,2.785015883,0.046800536,2.156293705,0.03344759,0.82305783,0.008718391,2.605367925,0.003335504
30,2,6.152128037,0.001983726,3.510530167,0.032916572,3.189963222,0.018518215,1.625591949,0.008218584,6.901856364,0.007076856
35,2,14.99260358,0.002671009,4.735817808,0.06585514,5.113340684,0.045250735,3.177239003,0.014433327,17.43870062,0.034215369
40,2,32.07235085,0.005955275,6.497436868,0.238626333,7.955796227,0.104915524,5.68761911,0.04316218,38.02518873,0.08805641
45,2,63.43949942,0.009660585,9.032018461,0.185136389,13.4095183,0.259019059,10.52312255,0.226122472,76.14840689,0.077564514
50,2,119.972165,0.031689553,10.41573813,0.35802982,18.24833845,0.084445846,14.86145294,0.088977566,140.9915956,0.347697264
