max_deg,edges,node_connectivity,edge_connectivity,centralized_lqr_mean,centralized_lqr_var,centralized_lqr_std,distributed_lqr_mean,distributed_lqr_var,distributed_worst_mean,distributed_worst_var,distributed_worst_std
2,99,1,1,524.2524872,0.859307421,0.926988361,210.6389105,27.51197558,72.91475939,10.19040692,3.192241676
6,149,2,2,521.4319188,25.48988497,5.048750832,340.7040425,28.60666709,114.9245929,2.454863151,1.566800291
8,199,2,2,520.5807653,9.531983931,3.087391121,497.6057927,4.771771221,149.9408526,1.040614234,1.020105011
10,249,2,2,524.0875668,2.168481155,1.472576366,684.404449,15.16935803,189.042877,2.330638226,1.526642796
11,299,2,2,518.9061067,35.25692834,5.937754486,845.3718858,177.7352879,209.033103,1.913241411,1.3831997
12,349,2,2,517.3029729,36.08735602,6.007275258,1085.539122,1089.4111,244.7549431,14.49966604,3.807842702
14,399,2,2,519.3759056,29.3610327,5.418582167,1379.693833,72.93307451,306.2807579,8.181729391,2.860372247
15,449,2,2,524.6215645,3.242499138,1.800694071,1633.496364,178.6774819,337.3277925,2.198951538,1.482886219
16,499,3,3,522.7533245,4.274593912,2.067509108,1712.715299,90.70628219,346.700224,3.581064275,1.892370015
18,549,3,3,521.8528955,31.61368239,5.622604592,2005.199224,333.0270939,412.9144735,20.6911934,4.548757347
20,599,3,3,516.194176,25.48531241,5.048297972,2346.988201,1491.637601,478.8860043,101.6580709,10.08256271
23,648,4,4,520.7270696,55.83209588,7.472087786,2665.735977,787.9949307,543.1917391,20.34672835,4.51073479
24,698,4,4,517.2135244,54.05156369,7.351976856,2955.196497,4281.396776,582.7856283,116.0195108,10.77123534
25,748,6,6,510.918174,1.719376463,1.311249962,3292.461619,7064.074932,628.1009299,239.3746279,15.47173642
26,798,7,7,512.3828284,51.21444184,7.156426611,3609.257975,28414.37582,666.4992625,763.1759435,27.62563924
30,848,7,7,518.0783357,25.30097104,5.030007062,3962.788503,29577.30236,792.3892241,1084.339922,32.92931706
33,898,8,8,515.4822942,39.7876335,6.307743931,4198.406093,16890.70206,868.7030295,534.4949235,23.11914625
34,948,9,9,509.8394465,5.122479214,2.263289468,4691.291724,5247.228559,939.9511511,162.3078702,12.74001061
